CallTimes	TotalTime	InitTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	0	1	2	3	4	5	4Rate	0time	1time	2time	3time	4time	5time	nSuccessCase
OKCase
1	8	0	0	0	0	0	1	0	0	0	0	1.0	0	0	0	0	0	0	1	1
1000001	7002	0	1100	2825	2868	2978	1000001	0	0	0	0	1.0	6994	0	0	0	0	0	1000001	1000001
2000001	13850	0	2153	5612	5700	5889	2000001	0	0	0	0	1.0	13842	0	0	0	0	0	2000001	2000001
3000001	20856	0	3183	8465	8603	8911	3000001	0	0	0	0	1.0	20848	0	0	0	0	0	3000001	3000001
4000001	27738	0	4141	11342	11533	11859	4000001	0	0	0	0	1.0	27730	0	0	0	0	0	4000001	4000001
5000001	34618	0	5184	14091	14334	14846	5000001	0	0	0	0	1.0	34610	0	0	0	0	0	5000001	5000001
6000001	41571	0	6213	16957	17259	17803	6000001	0	0	0	0	1.0	41563	0	0	0	0	0	6000001	6000001
7000001	48512	0	7250	19887	20243	20669	7000001	0	0	0	0	1.0	48504	0	0	0	0	0	7000001	7000001
8000001	55478	0	8289	22708	23115	23673	8000001	0	0	0	0	1.0	55470	0	0	0	0	0	8000001	8000001
9000001	62383	0	9344	25509	25967	26624	9000001	0	0	0	0	1.0	62375	0	0	0	0	0	9000001	9000001
10000001	69241	0	10381	28341	28844	29532	10000001	0	0	0	0	1.0	69233	0	0	0	0	0	10000001	10000001
11000001	76102	0	11413	31159	31712	32443	11000001	0	0	0	0	1.0	76094	0	0	0	0	0	11000001	11000001
12000001	83033	0	12480	33987	34592	35358	12000001	0	0	0	0	1.0	83025	0	0	0	0	0	12000001	12000001
13000001	89951	0	13507	36839	37507	38284	13000001	0	0	0	0	1.0	89943	0	0	0	0	0	13000001	13000001
14000001	96866	0	14580	39676	40427	41156	14000001	0	0	0	0	1.0	96858	0	0	0	0	0	14000001	14000001
15000001	103831	0	15679	42534	43347	44061	15000001	0	0	0	0	1.0	103823	0	0	0	0	0	15000001	15000001
16000001	110755	0	16653	45356	46212	47085	16000001	0	0	0	0	1.0	110747	0	0	0	0	0	16000001	16000001
17000001	117764	0	17723	48212	49108	50077	17000001	0	0	0	0	1.0	117756	0	0	0	0	0	17000001	17000001
18000001	124613	0	18769	50948	51900	53040	18000001	0	0	0	0	1.0	124605	0	0	0	0	0	18000001	18000001
19000001	131568	0	19808	53787	54795	56010	19000001	0	0	0	0	1.0	131560	0	0	0	0	0	19000001	19000001
20000001	138465	0	20796	56678	57731	58933	20000001	0	0	0	0	1.0	138457	0	0	0	0	0	20000001	20000001
21000001	145391	0	21799	59538	60644	61902	21000001	0	0	0	0	1.0	145383	0	0	0	0	0	21000001	21000001
22000001	152471	0	22845	62428	63580	64958	22000001	0	0	0	0	1.0	152463	0	0	0	0	0	22000001	22000001
23000001	161187	0	24093	65952	67205	68734	23000001	0	0	0	0	1.0	161179	0	0	0	0	0	23000001	23000001
24000001	168860	0	25288	69066	70378	71979	24000001	0	0	0	0	1.0	168852	0	0	0	0	0	24000001	24000001
25000001	176531	0	26410	72185	73560	75278	25000001	0	0	0	0	1.0	176523	0	0	0	0	0	25000001	25000001
26000001	183964	0	27450	75195	76641	78485	26000001	0	0	0	0	1.0	183956	0	0	0	0	0	26000001	26000001
27000001	191457	0	28582	78243	79746	81681	27000001	0	0	0	0	1.0	191449	0	0	0	0	0	27000001	27000001
